timestamp,views
2015081300,4047
2015081400,3024
2015081500,2668
2015081600,2507
2015081700,2395
2015081800,2230
2015081900,1880
2015082000,1745
2015082100,1844
2015082200,1686
2015082300,2100
2015082400,2023
2015082500,1987
2015082600,1503
2015082700,1557
2015082800,1756
2015082900,1577
2015083000,1672
2015083100,1601
2015090100,1692
2015090200,1782
2015090300,1598
2015090400,1551
2015090500,1749
2015090600,2033
2015090700,2325
2015090800,1715
2015090900,1564
2015091000,1490
2015091100,1378
2015091200,1492
2015091300,1872
2015091400,1543
2015091500,1483
2015091600,1433
2015091700,1446
2015091800,1449
2015091900,1556
2015092000,1719
2015092100,1449
2015092200,1667
2015092300,1529
2015092400,1506
2015092500,1400
2015092600,1380
2015092700,1674
2015092800,1572
2015092900,1472
2015093000,1352
2015100100,1338
2015100200,1266
2015100300,1356
2015100400,1657
2015100500,1386
2015100600,1295
2015100700,1248
2015100800,1311
2015100900,1330
2015101000,1439
2015101100,1524
2015101200,1494
2015101300,1413
2015101400,1308
2015101500,1346
2015101600,2969
2015101700,4199
2015101800,3078
2015101900,2775
2015102000,2722
2015102100,2862
2015102200,2291
2015102300,1978
2015102400,2053
2015102500,2216
2015102600,2136
2015102700,1921
2015102800,2725
2015102900,2639
2015103000,4112
2015103100,5661
2015110100,5497
2015110200,7671
2015110300,6626
2015110400,6944
2015110500,7572
2015110600,9850
2015110700,10604
2015110800,11065
2015110900,8610
2015111000,6853
2015111100,7979
2015111200,13215
2015111300,15161
