timestamp,views
2015070100,2383
2015070200,2453
2015070300,2491
2015070400,2659
2015070500,2960
2015070600,2872
2015070700,2567
2015070800,2495
2015070900,2382
2015071000,2461
2015071100,2531
2015071200,3456
2015071300,3052
2015071400,3019
2015071500,2676
2015071600,2499
2015071700,2993
2015071800,2999
2015071900,3317
2015072000,2993
2015072100,2752
2015072200,2690
2015072300,2629
2015072400,2722
2015072500,2698
2015072600,3207
2015072700,2970
2015072800,2719
2015072900,2487
2015073000,2341
2015073100,2286
2015080100,2181
2015080200,2460
2015080300,2130
2015080400,2354
2015080500,2078
2015080600,2046
2015080700,1983
2015080800,2317
2015080900,2566
2015081000,2545
2015081100,2407
2015081200,2413
2015081300,2331
2015081400,2354
2015081500,2427
2015081600,2690
2015081700,2733
2015081800,2580
2015081900,2305
2015082000,2238
2015082100,2533
2015082200,2498
2015082300,2704
2015082400,2479
2015082500,2296
2015082600,2146
2015082700,2293
2015082800,2246
2015082900,2230
2015083000,2442
2015083100,2398
2015090100,2373
2015090200,2223
2015090300,2431
2015090400,2916
2015090500,2888
2015090600,2796
2015090700,2682
2015090800,2561
2015090900,2510
2015091000,2518
2015091100,2561
2015091200,2654
2015091300,2979
2015091400,2574
2015091500,2513
2015091600,2641
2015091700,2439
2015091800,2601
2015091900,2730
2015092000,3317
2015092100,2657
2015092200,2599
2015092300,2820
2015092400,2423
2015092500,2338
2015092600,2404
2015092700,2929
2015092800,2556
2015092900,2752
2015093000,2457
2015100100,2198
2015100200,2365
2015100300,2540
2015100400,2740
2015100500,2653
2015100600,2345
2015100700,2312
2015100800,2174
2015100900,2236
2015101000,2519
2015101100,2557
2015101200,2340
2015101300,2220
2015101400,2121
2015101500,2017
2015101600,1933
2015101700,2288
2015101800,2528
2015101900,2241
2015102000,2001
2015102100,2073
2015102200,2205
2015102300,2165
2015102400,2226
2015102500,2382
2015102600,2357
2015102700,2103
2015102800,2014
2015102900,1890
2015103000,1813
2015103100,1920
2015110100,2307
2015110200,2388
2015110300,1933
2015110400,2057
2015110500,2051
2015110600,2005
2015110700,2147
2015110800,2410
2015110900,2199
2015111000,2258
2015111100,2147
2015111200,2275
2015111300,2357
2015111400,2475
2015111500,2368
2015111600,2185
2015111700,2115
2015111800,2130
2015111900,2267
2015112000,2091
2015112100,2152
2015112200,2493
2015112300,2413
2015112400,4531
2015112500,9992
2015112600,5394
2015112700,3230
2015112800,3458
2015112900,3341
2015113000,3066
2015120100,2811
2015120200,2785
2015120300,2676
2015120400,2808
2015120500,3274
2015120600,3238
2015120700,2859
2015120800,2451
2015120900,2253
2015121000,2656
2015121100,2548
2015121200,2450
2015121300,2676
2015121400,2637
2015121500,2301
2015121600,2322
2015121700,2304
2015121800,2096
2015121900,2205
2015122000,2425
2015122100,2410
2015122200,2407
2015122300,2566
2015122400,2353
2015122500,2410
2015122600,2881
2015122700,3054
2015122800,3178
2015122900,3030
2015123000,3116
2015123100,9785
2016010100,14242
2016010200,10569
2016010300,9537
2016010400,7756
2016010500,6129
2016010600,6351
2016010700,8004
2016010800,7491
2016010900,8398
2016011000,8550
2016011100,6850
2016011200,5675
2016011300,5683
2016011400,5929
2016011500,5406
2016011600,6428
2016011700,6130
2016011800,5450
2016011900,4507
2016012000,4223
2016012100,3847
2016012200,3707
2016012300,4057
2016012400,4626
2016012500,4041
2016012600,4452
2016012700,3990
2016012800,3437
2016012900,3216
2016013000,3793
2016013100,4129
2016020100,3590
2016020200,3083
2016020300,3304
2016020400,2839
2016020500,2932
2016020600,3344
2016020700,3523
2016020800,3377
2016020900,3214
2016021000,2787
2016021100,2748
2016021200,2835
2016021300,3192
2016021400,3444
2016021500,3288
2016021600,3129
2016021700,2813
2016021800,2897
2016021900,2842
2016022000,3026
2016022100,3451
2016022200,3192
2016022300,3327
2016022400,3892
2016022500,3797
2016022600,3639
2016022700,3670
2016022800,3908
2016022900,6739
2016030100,5486
2016030200,7616
2016030300,8450
2016030400,9853
