timestamp,views
2015122300,2762
2015122400,2367
2015122500,1693
2015122600,2332
2015122700,2594
2015122800,3045
2015122900,3390
2015123000,3456
2015123100,2704
2016010100,2464
2016010200,3310
2016010300,3826
2016010400,3498
2016010500,3381
2016010600,3148
2016010700,3110
2016010800,2924
2016010900,2781
2016011000,2972
2016011100,2649
2016011200,2421
2016011300,2162
2016011400,2036
2016011500,2202
2016011600,2591
2016011700,2947
2016011800,3037
2016011900,2966
2016012000,2887
2016012100,3080
2016012200,3068
2016012300,2638
2016012400,2437
2016012500,1965
2016012600,1461
2016012700,1456
2016012800,1331
2016012900,1396
2016013000,1829
2016013100,2189
2016020100,2635
2016020200,1802
2016020300,1594
2016020400,1462
2016020500,1626
2016020600,1803
2016020700,2098
2016020800,1707
2016020900,1575
2016021000,1625
2016021100,1456
2016021200,1637
2016021300,2152
2016021400,7128
2016021500,2930
2016021600,2372
2016021700,2269
2016021800,2016
2016021900,1908
2016022000,2574
2016022100,4267
2016022200,12504
2016022300,10490
2016022400,11088
2016022500,13577
2016022600,19980
2016022700,10793
2016022800,11578
2016022900,15383
2016030100,16180
2016030200,12355
2016030300,12906
2016030400,24195
2016030500,14162
2016030600,15362
2016030700,18676
2016030800,16128
2016030900,16801
2016031000,16603
2016031100,22736
2016031200,15754
2016031300,12528
2016031400,16029
2016031500,27923
2016031600,34115
