timestamp,views
2015103000,1420
2015103100,1523
2015110100,1713
2015110200,1472
2015110300,1443
2015110400,1414
2015110500,1423
2015110600,1454
2015110700,2187
2015110800,2093
2015110900,1943
2015111000,1718
2015111100,1792
2015111200,1586
2015111300,1442
2015111400,1489
2015111500,1775
2015111600,1990
2015111700,1864
2015111800,1708
2015111900,1925
2015112000,2650
2015112100,3197
2015112200,3321
2015112300,3448
2015112400,2175
2015112500,2401
2015112600,2251
2015112700,2285
2015112800,2802
2015112900,2740
2015113000,2648
2015120100,2337
2015120200,2185
2015120300,2172
2015120400,2171
2015120500,2588
2015120600,2781
2015120700,2707
2015120800,2406
2015120900,2379
2015121000,2575
2015121100,2409
2015121200,2537
2015121300,2996
2015121400,3225
2015121500,2843
2015121600,2558
2015121700,2546
2015121800,2982
2015121900,3512
2015122000,3647
2015122100,3751
2015122200,3632
2015122300,3950
2015122400,4162
2015122500,3735
2015122600,5604
2015122700,8267
2015122800,10903
2015122900,8835
2015123000,7832
2015123100,7572
2016010100,8443
2016010200,9655
2016010300,10125
2016010400,10602
2016010500,12142
2016010600,12654
2016010700,11025
2016010800,12705
2016010900,11774
2016011000,14186
2016011100,13457
2016011200,13278
2016011300,16450
2016011400,23167
2016011500,25789
2016011600,29313
2016011700,27794
2016011800,25486
2016011900,23981
2016012000,26657
2016012100,33127
2016012200,49765
