timestamp,views
2015111300,294
2015111400,303
2015111500,364
2015111600,316
2015111700,269
2015111800,237
2015111900,265
2015112000,253
2015112100,270
2015112200,227
2015112300,350
2015112400,402
2015112500,295
2015112600,279
2015112700,269
2015112800,264
2015112900,314
2015113000,305
2015120100,326
2015120200,257
2015120300,252
2015120400,263
2015120500,310
2015120600,393
2015120700,393
2015120800,433
2015120900,295
2015121000,328
2015121100,283
2015121200,305
2015121300,342
2015121400,315
2015121500,337
2015121600,402
2015121700,353
2015121800,278
2015121900,275
2015122000,286
2015122100,308
2015122200,325
2015122300,277
2015122400,291
2015122500,286
2015122600,375
2015122700,441
2015122800,448
2015122900,472
2015123000,392
2015123100,413
2016010100,480
2016010200,518
2016010300,1293
2016010400,1719
2016010500,2257
2016010600,1985
2016010700,1198
2016010800,780
2016010900,685
2016011000,609
2016011100,655
2016011200,528
2016011300,535
2016011400,585
2016011500,540
2016011600,658
2016011700,648
2016011800,746
2016011900,682
2016012000,761
2016012100,729
2016012200,654
2016012300,699
2016012400,730
2016012500,770
2016012600,804
2016012700,900
2016012800,1113
2016012900,2445
2016013000,2460
2016013100,2155
2016020100,1992
2016020200,2010
2016020300,2045
2016020400,2428
2016020500,3482
2016020600,4874
2016020700,6048
2016020800,8271
