timestamp,views
2015080900,1971
2015081000,1814
2015081100,2040
2015081200,1818
2015081300,1727
2015081400,1686
2015081500,1810
2015081600,2008
2015081700,1780
2015081800,2126
2015081900,1980
2015082000,1882
2015082100,1683
2015082200,1780
2015082300,1932
2015082400,1824
2015082500,1872
2015082600,1941
2015082700,1741
2015082800,1671
2015082900,1706
2015083000,1955
2015083100,1892
2015090100,1716
2015090200,1741
2015090300,1691
2015090400,1804
2015090500,1798
2015090600,1825
2015090700,1926
2015090800,1622
2015090900,1493
2015091000,1550
2015091100,1706
2015091200,1739
2015091300,1902
2015091400,1926
2015091500,1837
2015091600,1656
2015091700,1663
2015091800,1618
2015091900,1838
2015092000,2097
2015092100,2123
2015092200,4960
2015092300,4555
2015092400,3287
2015092500,3084
2015092600,2735
2015092700,2692
2015092800,2728
2015092900,2358
2015093000,2254
2015100100,2139
2015100200,2630
2015100300,2997
2015100400,3034
2015100500,2875
2015100600,2771
2015100700,2945
2015100800,3285
2015100900,3635
2015101000,4077
2015101100,4261
2015101200,4183
2015101300,3931
2015101400,4497
2015101500,4295
2015101600,4464
2015101700,4982
2015101800,5314
2015101900,4882
2015102000,4722
2015102100,5909
2015102200,4603
2015102300,4766
2015102400,4953
2015102500,5429
2015102600,5364
2015102700,5242
2015102800,5797
2015102900,6078
2015103000,8260
2015103100,7896
2015110100,9199
2015110200,11745
2015110300,11679
2015110400,14110
2015110500,16993
2015110600,27433
