,title,studio,gross,total theaters,opening gross,opening theaters,release
0,Star Wars: The Force Awakens,BV,935832841.0,4134.0,247966675.0,4134.0,2015-12-18
1,Jurassic World,Uni.,652270625.0,4291.0,208806270.0,4274.0,2015-06-12
2,Avengers: Age of Ultron,BV,459005868.0,4276.0,191271109.0,4276.0,2015-05-01
3,Inside Out,BV,356461711.0,4158.0,90440272.0,3946.0,2015-06-19
4,Furious 7,Uni.,353007020.0,4022.0,147187040.0,4004.0,2015-04-03
5,Minions,Uni.,336045770.0,4311.0,115718405.0,4301.0,2015-07-10
6,The Hunger Games: Mockingjay - Part 2,LGF,281723902.0,4175.0,102665981.0,4175.0,2015-11-20
7,The Martian,Fox,228433663.0,3854.0,54308575.0,3831.0,2015-10-02
8,Cinderella (2015),BV,201151353.0,3848.0,67877361.0,3845.0,2015-03-13
9,Spectre,Sony,200074609.0,3929.0,70403148.0,3929.0,2015-11-06
10,Mission: Impossible - Rogue Nation,Par.,195042377.0,3988.0,55520089.0,3956.0,2015-07-31
11,Pitch Perfect 2,Uni.,184296230.0,3660.0,69216890.0,3473.0,2015-05-15
12,The Revenant,Fox,183287861.0,3711.0,474560.0,4.0,2015-12-25
13,Ant-Man,BV,180202163.0,3868.0,57225526.0,3856.0,2015-07-17
14,Home (2015),Fox,177397510.0,3801.0,52107731.0,3708.0,2015-03-27
15,Hotel Transylvania 2,Sony,169700110.0,3768.0,48464322.0,3754.0,2015-09-25
16,Fifty Shades of Grey,Uni.,166167230.0,3655.0,85171450.0,3646.0,2015-02-13
17,The SpongeBob Movie: Sponge Out of Water,Par.,162994032.0,3680.0,55365012.0,3641.0,2015-02-06
18,Straight Outta Compton,Uni.,161197785.0,3142.0,60200180.0,2757.0,2015-08-14
19,San Andreas,WB,155190832.0,3812.0,54588173.0,3777.0,2015-05-29
20,Mad Max: Fury Road,WB,153636354.0,3722.0,45428128.0,3702.0,2015-05-15
21,Daddy's Home,Par.,150357137.0,3483.0,38740203.0,3271.0,2015-12-25
22,The Divergent Series: Insurgent,LG/S,130179072.0,3875.0,52263680.0,3875.0,2015-03-20
23,The Peanuts Movie,Fox,130178411.0,3902.0,44213073.0,3897.0,2015-11-06
24,Kingsman: The Secret Service,Fox,128261724.0,3282.0,36206331.0,3204.0,2015-02-13
25,The Good Dinosaur,BV,123087120.0,3749.0,39155217.0,3749.0,2015-11-25
26,Spy,Fox,110825712.0,3715.0,29085719.0,3711.0,2015-06-05
27,Trainwreck,Uni.,110212700.0,3171.0,30097040.0,3158.0,2015-07-17
28,Creed,WB,109767581.0,3502.0,29632823.0,3404.0,2015-11-25
29,Tomorrowland,BV,93436322.0,3972.0,33028165.0,3972.0,2015-05-22
30,Get Hard,WB,90411453.0,3212.0,33803253.0,3175.0,2015-03-27
31,Terminator: Genisys,Par.,89760956.0,3783.0,27018486.0,3758.0,2015-07-01
32,Taken 3,Fox,89256424.0,3594.0,39201657.0,3594.0,2015-01-09
33,Sisters,Uni.,87044645.0,2978.0,13922855.0,2962.0,2015-12-18
34,Alvin and the Chipmunks: The Road Chip,Fox,85831416.0,3705.0,14287159.0,3653.0,2015-12-18
35,Maze Runner: The Scorch Trials,Fox,81697192.0,3792.0,30316510.0,3791.0,2015-09-18
36,Ted 2,Uni.,81476385.0,3448.0,33507870.0,3442.0,2015-06-26
37,Goosebumps,Sony,80080379.0,3618.0,23618556.0,3501.0,2015-10-16
38,Pixels,Sony,78747585.0,3723.0,24011616.0,3723.0,2015-07-24
39,Paddington,W/Dim.,76271832.0,3355.0,18966676.0,3303.0,2015-01-16
40,The Intern,WB,75764672.0,3320.0,17728313.0,3305.0,2015-09-25
41,Bridge of Spies,BV,72313754.0,2873.0,15371203.0,2811.0,2015-10-16
42,Paul Blart: Mall Cop 2,Sony,71038190.0,3633.0,23762435.0,3633.0,2015-04-17
43,The Big Short,Par.,70259870.0,2529.0,705527.0,8.0,2015-12-11
44,War Room,TriS,67790117.0,1945.0,11351389.0,1135.0,2015-08-28
45,Magic Mike XXL,WB,66013057.0,3376.0,12857184.0,3355.0,2015-07-01
46,The Visit,Uni.,65206105.0,3148.0,25427560.0,3069.0,2015-09-11
47,The Wedding Ringer,SGem,64460211.0,3003.0,20649306.0,3003.0,2015-01-16
48,Black Mass,WB,62575678.0,3188.0,22635037.0,3188.0,2015-09-18
