title,studio,gross,total theaters,opening gross,opening theaters,release,wiki views
American Sniper,WB,350126372.0,3885.0,633456.0,4.0,2014-12-25,66393.0
The Hunger Games: Mockingjay - Part 1,LGF,337135885.0,4151.0,121897634.0,4151.0,2014-11-21,
Guardians of the Galaxy,BV,333176600.0,4088.0,94320883.0,4080.0,2014-08-01,3559766.0
Captain America: The Winter Soldier,BV,259766572.0,3938.0,95023721.0,3938.0,2014-04-04,3104256.0
The LEGO Movie,WB,257760692.0,3890.0,69050279.0,3775.0,2014-02-07,
The Hobbit: The Battle of the Five Armies,WB (NL),255119788.0,3875.0,54724334.0,3875.0,2014-12-17,1472946.0
Transformers: Age of Extinction,Par.,245439076.0,4233.0,100038390.0,4233.0,2014-06-27,2172606.0
Maleficent,BV,241410378.0,3948.0,69431298.0,3948.0,2014-05-30,779471.0
X-Men: Days of Future Past,Fox,233921534.0,4001.0,90823660.0,3996.0,2014-05-23,3099755.0
Big Hero 6,BV,222527828.0,3773.0,56215889.0,3761.0,2014-11-07,1088584.0
Dawn of the Planet of the Apes,Fox,208545589.0,3969.0,72611427.0,3967.0,2014-07-11,1503017.0
The Amazing Spider-Man 2,Sony,202853933.0,4324.0,91608337.0,4324.0,2014-05-02,2842897.0
Godzilla (2014),WB,200676069.0,3952.0,93188384.0,3952.0,2014-05-16,
22 Jump Street,Sony,191719337.0,3426.0,57071445.0,3306.0,2014-06-13,771878.0
Teenage Mutant Ninja Turtles (2014),Par.,191204754.0,3980.0,65575105.0,3845.0,2014-08-08,
Interstellar,Par.,188020017.0,3561.0,47510360.0,3561.0,2014-11-05,3572834.0
How to Train Your Dragon 2,Fox,177002924.0,4268.0,49451322.0,4253.0,2014-06-13,906547.0
Gone Girl,Fox,167767189.0,3284.0,37513109.0,3014.0,2014-10-03,1596594.0
Divergent,LG/S,150947895.0,3936.0,54607747.0,3936.0,2014-03-21,0.0
Neighbors,Uni.,150157400.0,3311.0,49033915.0,3279.0,2014-05-09,785122.0
Ride Along,Uni.,134938200.0,2867.0,41516170.0,2663.0,2014-01-17,164920.0
Rio 2,Fox,131538435.0,3975.0,39327869.0,3948.0,2014-04-11,470215.0
Into the Woods,BV,128002372.0,2833.0,31051923.0,2440.0,2014-12-25,627967.0
Lucy,Uni.,126663600.0,3202.0,43899340.0,3173.0,2014-07-25,734606.0
The Fault in our Stars,Fox,124872350.0,3340.0,48002523.0,3173.0,2014-06-06,
Unbroken,Uni.,115637895.0,3301.0,30621445.0,3131.0,2014-12-25,706223.0
Night at the Museum: Secret of the Tomb,Fox,113746621.0,3914.0,17100520.0,3785.0,2014-12-19,388096.0
Mr. Peabody & Sherman,Fox,111506430.0,3951.0,32207057.0,3934.0,2014-03-07,0.0
300: Rise of An Empire,WB,106580051.0,3490.0,45038460.0,3470.0,2014-03-07,
The Maze Runner,Fox,102427862.0,3638.0,32512804.0,3604.0,2014-09-19,712626.0
The Equalizer,Sony,101530738.0,3236.0,34137828.0,3236.0,2014-09-26,409688.0
Noah,Par.,101200044.0,3571.0,43720472.0,3567.0,2014-03-28,0.0
Edge of Tomorrow,WB,100206256.0,3505.0,28760246.0,3490.0,2014-06-06,1572270.0
Non-Stop,Uni.,92168600.0,3183.0,28875635.0,3090.0,2014-02-28,0.0
Heaven is for Real,TriS,91443253.0,3048.0,22522221.0,2417.0,2014-04-16,
The Imitation Game,Wein.,91125683.0,2402.0,479352.0,4.0,2014-11-28,382908.0
Dumb and Dumber To,Uni.,86208010.0,3188.0,36111775.0,3154.0,2014-11-14,534809.0
Annie (2014),Sony,85911262.0,3197.0,15861939.0,3116.0,2014-12-19,
Fury (2014),Sony,85817906.0,3313.0,23702421.0,3173.0,2014-10-17,
Tammy,WB (NL),84525432.0,3465.0,21577049.0,3465.0,2014-07-02,223391.0
Annabelle,WB (NL),84273813.0,3215.0,37134255.0,3185.0,2014-10-03,1214371.0
The Other Woman (2014),Fox,83911193.0,3306.0,24763752.0,3205.0,2014-04-25,
Penguins of Madagascar,Fox,83350911.0,3775.0,25447444.0,3764.0,2014-11-26,187580.0
Let's Be Cops,Fox,82390774.0,3140.0,17813722.0,3094.0,2014-08-13,223857.0
The Monuments Men,Sony,78031620.0,3083.0,22003433.0,3083.0,2014-02-07,0.0
Hercules (2014),Par.,72688614.0,3595.0,29800263.0,3595.0,2014-07-25,
The Purge: Anarchy,Uni.,71962800.0,2856.0,29816675.0,2805.0,2014-07-18,614067.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,66954149.0,3117.0,18360230.0,3088.0,2014-10-10,155719.0
Think Like a Man Too,SGem,65182182.0,2225.0,29241911.0,2225.0,2014-06-20,198161.0
Exodus: Gods and Kings,Fox,65014513.0,3503.0,24115934.0,3503.0,2014-12-12,793050.0
